"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","246.5","-3","-1.2","11/11","7.55↘","8.64↘","-2.18↘","20.1↗","15.9↗","8.35↘","23.3↗","17.6↗","11.4↗"
="2330","台積電","1465","-10","-0.68","11/11","31.7↘","42.5↘","-21.7↘","116↗","95.2↗","42.5↘","173↗","136↗","74.3↗"
="2308","台達電","972","-10","-1.02","11/11","17.8↘","32.1↘","-28.7↗","148↘","132↗","30.6↘","135↗","71.6↗","127↗"
="2454","聯發科","1240","-10","-0.8","11/11","-23.8↘","-19.4↘","-8.86↘","-18.2↘","-3.75↘","-28.8↘","94.4↘","118↘","-48.1↘"
="3231","緯創","144.5","+6","+4.33","11/11","1.62↗","3.06↘","-2.88↗","8.65↗","6.97↗","3.36↘","14.2↗","12.4↗","3.44↗"
="3491","昇達科","421.5","-8","-1.86","11/11","-2.91↘","-0.5↘","-4.82↗","21.2↘","19.1↗","4.27↘","56.9↘","54.6↗","4.55↘"
="6669","緯穎","4720","+425","+9.9","11/11","248↗","243↗","11.5↗","483↗","357↗","252↗","547↗","344↗","405↗"
="3008","大立光","2215","-30","-1.34","11/11","-30↗","-32.1↗","4.25↗","-38.8↘","-26.4↘","-24.7↘","-37.7↘","-4.17↘","-67↘"
="3443","創意","1910","+20","+1.06","11/11","103↗","72.2↗","61.8↗","131↗","75.8↗","110↗","93.8↗","59.3↗","69.2↗"
="3661","世芯-KY","3635","-80","-2.15","11/11","39.3↗","-25.4↗","129↘","98↗","152↘","-108↗","374↗","344↗","60↘"
="2301","光寶科","167.5","-1.5","-0.89","11/11","1.68↘","3.57↘","-3.78↗","17↘","15.4↗","3.31↘","16.5↗","9.43↗","14.2↗"
="4967","十銓","140.5","-8.5","-5.7","11/11","10.3↘","10.6↘","-0.63↘","14.6↗","7.5↗","14.3↗","7.83↗","5.13↗","5.41↗"
="2344","華邦電","64.5","+0.6","+0.94","11/11","6.67↗","6.03↗","1.28↗","9.86↗","6.06↗","7.61↗","4.23↗","-0.01↗","8.48↗"
="3711","日月光投控","228","-0.5","-0.22","11/11","15.7↘","15.6↗","0.29↘","18.7↗","10.3↗","16.8↘","17.9↗","12.1↗","11.7↗"
="2408","南亞科","164.5","+3","+1.86","11/11","19.2↗","16.6↗","5.22↗","24.6↗","14.4↗","20.3↗","10↗","-1.25↗","22.5↗"
="2882","國泰金","64.8","+1","+1.57","11/11","-0.26↗","-0.17↘","-0.2↗","0.47↘","0.47↗","0.01↘","3.33↘","3.68↘","-0.7↗"
="2891","中信金","43.35","+0.95","+2.24","11/11","-0.01↗","-0.09↗","0.16↗","0.46↗","0.61↘","-0.31↗","3.74↘","3.74↘","-0.01↘"
="2884","玉山金","30.15","+0.65","+2.2","11/11","-0.82↗","-0.78↘","-0.09↗","0.02↘","0.61↘","-1.19↘","1.38↘","1.16↗","0.44↘"
="2880","華南金","29.8","+0.15","+0.51","11/11","0.09↗","0.1↘","-0.01↗","0.58↗","0.55↗","0.06↘","1.6↗","1.45↗","0.31↗"
="0050","元大台灣50","62.9","-0.45","-0.71","11/11","1.08↘","1.42↘","-0.68↘","-17.4↗","-23↗","11.2↘","-21.9↘","-6.67↘","-30.5↗"
="00878","國泰永續高股息","21.38","+0.04","+0.19","11/11","0.05↘","0.1↘","-0.1↘","0.08↗","0↗","0.17↘","0.23↘","0.43↘","-0.41↗"
="006208","富邦台50","147.1","-0.9","-0.61","11/11","2.72↘","3.61↘","-1.77↘","9.8↗","8.04↗","3.51↘","14↗","10.8↗","6.3↗"
