"代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
="2317","鴻海","246.5","25Q2","74,229","+3.38","4,599","+3.15","1,821","+5.39","6.2","-0.01","2.74","+0.05","13.12","+0.69","12.1","+1.21","5.01","+0.41","43"
="2330","台積電","1465","25Q2","34,012","+8.29","19,925","+10.5","14,598","+11.5","58.6","+1.17","42.9","+1.22","56.31","+5.79","34.6","+2.92","22.4","+2.2","91"
="2308","台達電","972","25Q3","5,075","+8.12","1,694","+8.47","500","+14.3","33.4","+0.11","11","+0.55","19.23","+2.41","19.8","+0.79","9.99","+0.6","55"
="2454","聯發科","1240","25Q2","5,735","+4.2","2,790","+4.39","1,063","+2.05","48.7","+0.09","18.7","-0.4","66.79","+1.32","27.6","+0.39","15.9","+0.48","68"
="3231","緯創","144.5","25Q2","14,675","+26.9","983","+4.65","213","+10.9","6.7","-1.42","2.88","-0.2","7.32","+0.64","24.6","+3.67","6.11","-0.09","34"
="3491","昇達科","421.5","25Q2","23.9","-5.32","11.8","-10.4","5.05","-17.5","49.4","-2.79","21.7","-3.77","7.72","-1.79","20.4","-5.41","12.5","-3.53","77"
="6669","緯穎","4720","25Q3","7,738","+27.9","682","+23.8","444","+25.7","8.81","-0.3","5.73","-0.1","238.77","+48.87","47.2","-4.25","18.2","+1.28","47"
="3008","大立光","2215","25Q3","621","-2.01","334","-3.37","232","+1.98","53.7","-0.76","38.2","+1.6","174.07","+3.38","13.3","+0.12","11.5","+0.3","89"
="3443","創意","1910","25Q3","278","+7.77","80.9","-3.35","34.6","-4.6","29.1","-3.35","12.5","-1.61","25.8","-1.25","31.2","-4.67","13.6","-1.44","57"
="3661","世芯-KY","3635","25Q2","475","-8.54","99.7","-6.46","64.2","-3.94","21","+0.47","13.5","+0.64","79.4","-3.34","18.5","+0.67","12.8","+0.46","70"
="2301","光寶科","167.5","25Q3","1,600","+5.34","366","+8.91","143","+9.62","22.8","+0.75","8.94","+0.35","6.28","+0.57","16.8","+1.31","7.14","+0.39","49"
="4967","十銓","140.5","25Q2","194","-13.1","17.3","-12.8","2.04","-37.1","8.93","+0.02","1.05","-0.4","2.39","-1.45","5.58","-4.49","1.33","-1.42","32"
="2344","華邦電","64.5","25Q3","815","+0.57","251","+18.5","-1.09","+96.5","30.8","+4.66","-0.73","+3.41","-0.02","+0.66","-0.58","+2.89","-0.32","+1.53","40"
="3711","日月光投控","228","25Q3","6,297","+1.36","1,061","+2.37","353","+3.33","16.8","+0.17","5.78","+0.1","8.14","+0.26","10.9","-0.21","4.68","-0.2","45"
="2408","南亞科","164.5","25Q3","431","+32.8","-4.69","+87.2","-60.5","+33.5","-1.09","+10.2","-14.1","+14","-1.96","+0.98","-3.76","+1.89","-2.98","+1.52","40"
="2882","國泰金","64.8","25Q2","3,005","-13.5","","","845","-18.9","","","28.4","-2.03","5.76","-1.33","10.2","-1.82","0.63","-0.15","71"
="2891","中信金","43.35","25Q2","2,078","+2.71","","","707","-0.5","","","34.7","-1.13","3.62","-0.02","15.2","+0.98","0.83","0","67"
="2884","玉山金","30.15","25Q2","831","+3.79","","","302","+5.26","","","36.3","+0.51","1.87","+0.08","12.5","+1.18","0.75","+0.02","67"
="2880","華南金","29.8","25Q2","661","-1.53","","","236","+3.32","","","35.7","+1.68","1.7","+0.03","11.2","+0.96","0.56","+0.01","62"
="0050","元大台灣50","62.9","","","","","","","","","","","","","","","","","",""
="00878","國泰永續高股息","21.38","","","","","","","","","","","","","","","","","",""
="006208","富邦台50","147.1","","","","","","","","","","","","","","","","","",""
