"代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
="2317","鴻海","246.5","25Q2","74,229","+18.4","4,599","+15.2","1,821","+18.8","6.2","-0.17","2.74","+0.03","13.12","+2.05","12.1","+1.86","5.01","+0.63","43"
="2330","台積電","1465","25Q2","34,012","+39.5","19,925","+53.1","14,598","+58.1","58.6","+5.23","42.9","+5.05","56.31","+20.72","34.6","+8.31","22.4","+5.88","91"
="2308","台達電","972","25Q3","5,075","+24.7","1,694","+28.5","500","+34.9","33.4","+0.98","11","+0.29","19.23","+4.98","19.8","+2.74","9.99","+1.16","55"
="2454","聯發科","1240","25Q2","5,735","+14.6","2,790","+13","1,063","+4.85","48.7","-0.68","18.7","-1.68","66.79","+2.96","27.6","+0.72","15.9","+0.68","68"
="3231","緯創","144.5","25Q2","14,675","+58.3","983","+29.7","213","+33.6","6.7","-1.47","2.88","+0.21","7.32","+1.7","24.6","+5.14","6.11","+0.83","34"
="3491","昇達科","421.5","25Q2","23.9","+28","11.8","+32","5.05","+47.1","49.4","+1.51","21.7","+0.63","7.72","+2.31","20.4","+4.34","12.5","+2.03","77"
="6669","緯穎","4720","25Q3","7,738","+155","682","+107","444","+131","8.81","-2.06","5.73","-0.61","238.77","+130.64","47.2","+15.2","18.2","+3.49","47"
="3008","大立光","2215","25Q3","621","+5.09","334","+11.9","232","+4.63","53.7","+3.28","38.2","+0.64","174.07","+7.71","13.3","-0.02","11.5","+0.13","89"
="3443","創意","1910","25Q3","278","+9.58","80.9","+2.34","34.6","+4.26","29.1","-2.06","12.5","-0.64","25.8","+1.06","31.2","-2.92","13.6","-2.52","57"
="3661","世芯-KY","3635","25Q2","475","+16.2","99.7","+18","64.2","+33","21","+0.32","13.5","+1.71","79.4","+17.88","18.5","-1.53","12.8","-0.31","70"
="2301","光寶科","167.5","25Q3","1,600","+17.9","366","+23.4","143","+15.8","22.8","+1.02","8.94","-0.17","6.28","+0.89","16.8","+2.34","7.14","+0.91","49"
="4967","十銓","140.5","25Q2","194","-2.17","17.3","-27.2","2.04","-69.1","8.93","-3.07","1.05","-2.28","2.39","-6.94","5.58","-18.6","1.33","-3.26","32"
="2344","華邦電","64.5","25Q3","815","-0.75","251","+3.09","-1.09","-112","30.8","+1.15","-0.73","-2.38","-0.02","-0.22","-0.58","-1.93","-0.32","-1.06","40"
="3711","日月光投控","228","25Q3","6,297","+6.06","1,061","+10.4","353","+8.27","16.8","+0.67","5.78","+0.01","8.14","+0.59","10.9","+0.26","4.68","-0.16","45"
="2408","南亞科","164.5","25Q3","431","+18.8","-4.69","+48.6","-60.5","-1.07","-1.09","+1.43","-14.1","+2.46","-1.96","-0.03","-3.76","-0.2","-2.98","+0.03","40"
="2882","國泰金","64.8","25Q2","3,005","-7.76","","","845","-6.3","","","28.4","+0.77","5.76","-0.39","10.2","-0.97","0.63","-0.06","71"
="2891","中信金","43.35","25Q2","2,078","+25.8","","","707","+9.6","","","34.7","-5.04","3.62","+0.32","15.2","+0.72","0.83","+0.04","67"
="2884","玉山金","30.15","25Q2","831","+16.2","","","302","+26.4","","","36.3","+2.92","1.87","+0.38","12.5","+2.05","0.75","+0.11","67"
="2880","華南金","29.8","25Q2","661","+4.46","","","236","+5.7","","","35.7","+0.42","1.7","+0.09","11.2","-0.03","0.56","0","62"
="0050","元大台灣50","62.9","","","","","","","","","","","","","","","","","",""
="00878","國泰永續高股息","21.38","","","","","","","","","","","","","","","","","",""
="006208","富邦台50","147.1","","","","","","","","","","","","","","","","","",""
