"代號","名稱","成交","漲跌價","漲跌幅","財報季度","統計季數","應收帳款週轉率近季新高新低","應付帳款週轉率近季新高新低","存貨週轉率近季新高新低","固定資產週轉率近季新高新低","總資產週轉率近季新高新低","淨值週轉率近季新高新低","利息保障倍數近季新高新低"
="2317","鴻海","246.5","-3","-1.2","25Q2","123","+5","+5","+2","+7","+16","+39","+12"
="2330","台積電","1465","-10","-0.68","25Q2","123","+123","-2","+15","+55","+16","+9","+15"
="2308","台達電","972","-10","-1.02","25Q3","124","-4","+2","+15","+8","+8","-2","+4"
="2454","聯發科","1240","-10","-0.8","25Q2","103","+2","-2","-2","+10","+10","+67","-18"
="3231","緯創","144.5","+6","+4.33","25Q2","92","-3","+2","+2","+56","+9","+9","+12"
="3491","昇達科","421.5","-8","-1.86","25Q2","77","-2","-4","+27","-5","-3","-2","-40"
="6669","緯穎","4720","+425","+9.9","25Q3","35","+3","+9","+7","+8","+10","-2","+14"
="3008","大立光","2215","-30","-1.34","25Q3","101","-4","+4","-8","-6","-2","-3","-8"
="3443","創意","1910","+20","+1.06","25Q3","82","-3","+2","-6","+4","+4","-2","-3"
="3661","世芯-KY","3635","-80","-2.15","25Q2","55","-2","-7","-2","+2","-10","-9","+44"
="2301","光寶科","167.5","-1.5","-0.89","25Q3","124","-3","-2","-2","-2","+9","+8","+6"
="4967","十銓","140.5","-8.5","-5.7","25Q2","40","-31","-4","-9","-5","-9","-8","-6"
="2344","華邦電","64.5","+0.6","+0.94","25Q3","124","-9","-3","-7","+4","-6","-6","+2"
="3711","日月光投控","228","-0.5","-0.22","25Q3","32","-4","+3","-4","-25","-20","-3","+2"
="2408","南亞科","164.5","+3","+1.86","25Q3","106","+3","+4","+6","+10","+10","+11","+10"
="2882","國泰金","64.8","+1","+1.57","25Q2","95","-95","0","0","-6","-7","-95","0"
="2891","中信金","43.35","+0.95","+2.24","25Q2","93","-3","0","0","+19","+11","+11","0"
="2884","玉山金","30.15","+0.65","+2.2","25Q2","92","-4","0","0","+87","+19","+42","0"
="2880","華南金","29.8","+0.15","+0.51","25Q2","95","-36","0","0","-4","-5","+3","0"
="0050","元大台灣50","62.9","-0.45","-0.71","","","","","","","","",""
="00878","國泰永續高股息","21.38","+0.04","+0.19","","","","","","","","",""
="006208","富邦台50","147.1","-0.9","-0.61","","","","","","","","",""
