"代號","名稱","成交","漲跌價","漲跌幅","財報季度","營業成本(%)","營業費用(%)","應收帳款週轉率","應收帳款收現日數","應付帳款週轉率","應付帳款付現日數","存貨週轉率","平均售貨日數","固定資產週轉率","總資產週轉率","淨值週轉率","業外損益(%)","業外佔稅前淨利(%)"
="2317","鴻海","246.5","-3","-1.2","25Q2","93.8","3.2","7.77","47","5.58","65.4","7.98","45.7","16.8","1.83","4.43","0.44","12.9"
="2330","台積電","1465","-10","-0.68","25Q2","41.4","9.86","15.1","24.2","2.43","150","4.89","74.7","1.05","0.52","0.81","2.94","5.69"
="2308","台達電","972","-10","-1.02","25Q3","66.6","19.9","4.84","75.4","2.74","133","4.04","90.4","4.36","0.91","1.81","0.76","5.33"
="2454","聯發科","1240","-10","-0.8","25Q2","51.3","30.4","8.63","42.3","2.14","171","5.4","67.6","10.2","0.85","1.48","3.09","14.5"
="3231","緯創","144.5","+6","+4.33","25Q2","93.3","3.34","6.28","58.1","6.23","58.6","5.31","68.7","25.7","2.12","8.53","0.45","11.8"
="3491","昇達科","421.5","-8","-1.86","25Q2","50.6","23.9","4.01","90.9","1.46","251","6.58","55.5","1.99","0.57","0.94","1.99","7.24"
="6669","緯穎","4720","+425","+9.9","25Q3","91.2","1.63","13.2","27.7","8.47","43.1","6.22","58.7","63.6","3.17","8.24","0.23","3.13"
="3008","大立光","2215","-30","-1.34","25Q3","46.3","12.5","4.56","80","1.11","330","4.29","85.1","1.29","0.3","0.35","5.06","10.9"
="3443","創意","1910","+20","+1.06","25Q3","70.9","14.8","13.3","27.5","5.07","72","3.11","117","36","1.1","2.51","0.35","2.4"
="3661","世芯-KY","3635","-80","-2.15","25Q2","79","7.77","12.1","30.2","6.37","57.3","4.21","86.7","27.7","0.95","1.37","2.95","18.3"
="2301","光寶科","167.5","-1.5","-0.89","25Q3","77.2","13.1","4.16","87.8","1.95","187","4.37","83.4","7.94","0.8","1.88","1.82","15.7"
="4967","十銓","140.5","-8.5","-5.7","25Q2","91.1","8.25","6.32","57.7","2.83","129","2.66","137","53.1","1.27","5.3","0.65","48.7"
="2344","華邦電","64.5","+0.6","+0.94","25Q3","69.2","30","6.1","59.9","3.14","116","2.33","156","0.83","0.44","0.79","-1.09","476"
="3711","日月光投控","228","-0.5","-0.22","25Q3","83.2","9.82","5.07","72.1","3.52","104","7.75","47.1","1.85","0.81","1.88","0.03","0.46"
="2408","南亞科","164.5","+3","+1.86","25Q3","101","20.6","3.68","99.1","3.95","92.5","1.37","267","0.51","0.21","0.27","4.49","-26.1"
="2882","國泰金","64.8","+1","+1.57","25Q2","","","1.02","359","","","","","2.76","0.02","0.36","",""
="2891","中信金","43.35","+0.95","+2.24","25Q2","","","0.69","530","","","","","4.15","0.02","0.44","",""
="2884","玉山金","30.15","+0.65","+2.2","25Q2","","","0.49","748","","","","","2.43","0.02","0.34","",""
="2880","華南金","29.8","+0.15","+0.51","25Q2","","","0.79","462","","","","","1.96","0.02","0.31","",""
="0050","元大台灣50","62.9","-0.45","-0.71","","","","","","","","","","","","","",""
="00878","國泰永續高股息","21.38","+0.04","+0.19","","","","","","","","","","","","","",""
="006208","富邦台50","147.1","-0.9","-0.61","","","","","","","","","","","","","",""
