"代號","名稱","成交","財報季度","稅後淨利(億)","營業金流(億)","投資金流(億)","融資金流(億)","其他金流(億)","淨現金流(億)","自由金流(億)","期初現金餘額(億)","期末現金餘額(億)","每股營業金流(元)","每股投資金流(元)","每股融資金流(元)","每股淨現金流(元)","每股自由金流(元)","現金流量比率(%)","EPS(元)","財報評分"
="2317","鴻海","246.5","25Q2","1,821","1,441","-2,552","120","-790","-1,782","-1,111","10,487","8,705","10.4","-18.4","0.86","-12.8","-8","6.76","13.12","43"
="2330","台積電","1465","25Q2","14,598","21,348","-10,261","-3,887","-1,546","5,654","11,087","17,991","23,645","82.4","-39.6","-15","21.8","42.8","155","56.31","91"
="2308","台達電","972","25Q3","500","820","-494","-85.3","-61.9","179","326","1,204","1,384","31.6","-19","-3.28","6.89","12.6","44.4","19.23","55"
="2454","聯發科","1240","25Q2","1,063","1,400","-287","-994","-164","-45","1,113","1,899","1,853","88","-18.1","-62.4","-2.83","69.9","54.2","66.79","68"
="3231","緯創","144.5","25Q2","213","-1,339","-263","1,981","-93.1","286","-1,602","544","831","-45.9","-9","67.9","9.82","-54.9","-21.5","7.32","34"
="3491","昇達科","421.5","25Q2","5.05","9.95","-2.37","-3.18","-1.17","3.23","7.58","9.88","13.1","15.2","-3.62","-4.86","4.93","11.6","105","7.72","77"
="6669","緯穎","4720","25Q3","444","-63.8","-103","232","-15.4","50.1","-167","474","525","-34.3","-55.3","125","27","-89.6","-3.73","238.77","47"
="3008","大立光","2215","25Q3","232","316","-81.4","-118","-18.5","98.8","235","967","1,066","237","-61","-88.2","74.1","176","112","174.07","89"
="3443","創意","1910","25Q3","34.6","11.1","-0.38","-22.3","-0.55","-12.1","10.7","92.6","80.4","8.27","-0.28","-16.6","-9.06","7.98","6.71","25.8","57"
="3661","世芯-KY","3635","25Q2","64.2","178","-62.1","-6.71","-31.4","78","116","232","310","221","-76.9","-8.31","96.5","144","138","79.4","70"
="2301","光寶科","167.5","25Q3","143","136","-70.7","-130","-58.6","-123","65.1","990","867","5.96","-3.1","-5.69","-5.41","2.86","11.9","6.28","49"
="4967","十銓","140.5","25Q2","2.04","-60.2","2.08","5.96","-0.07","-52.2","-58.1","64.6","12.4","-70.6","2.43","6.99","-61.2","-68.1","-104","2.39","32"
="2344","華邦電","64.5","25Q3","-1.09","81.2","-87.6","27.4","-3.96","17","-6.44","155","172","1.49","-1.61","0.5","0.31","-0.12","15.9","-0.02","40"
="3711","日月光投控","228","25Q3","353","1,067","-1,586","636","-82","34.3","-519","717","751","24.6","-36.6","14.7","0.79","-12","41.1","8.14","45"
="2408","南亞科","164.5","25Q3","-60.5","28.5","-152","50","-14.5","-88.4","-124","612","523","0.92","-4.94","1.62","-2.86","-4.01","14.5","-1.96","40"
="2882","國泰金","64.8","25Q2","845","1,109","-411","774","102","1,574","698","6,791","8,365","7.56","-2.8","5.28","10.7","4.76","","5.76","71"
="2891","中信金","43.35","25Q2","707","590","-115","-593","-9.39","-127","475","5,193","5,066","3.02","-0.59","-3.04","-0.65","2.43","","3.62","67"
="2884","玉山金","30.15","25Q2","302","331","-107","-125","149","249","225","1,419","1,668","2.05","-0.66","-0.77","1.54","1.39","","1.87","67"
="2880","華南金","29.8","25Q2","236","311","-24.7","-208","-55","23.4","286","1,447","1,471","2.24","-0.18","-1.5","0.17","2.06","","1.7","62"
="0050","元大台灣50","62.9","","","","","","","","","","","","","","","","","",""
="00878","國泰永續高股息","21.38","","","","","","","","","","","","","","","","","",""
="006208","富邦台50","147.1","","","","","","","","","","","","","","","","","",""
