"代號","名稱","成交","漲跌價","漲跌幅","資券日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","246.5","-3","-1.2","11/11","2,838","6,255","35","-3,452","58,237","1.67","0.42","42","26","3","-19","3,552","0.1","0.03","36","0.07","6.1"
="2330","台積電","1465","-10","-0.68","11/11","491","1,256","7","-772","18,038","0.28","0.07","10","3","0","-7","313","0","0","3","0.01","1.74"
="2308","台達電","972","-10","-1.02","11/11","396","439","1","-44","6,974","1.07","0.27","15","30","0","+15","852","0.13","0.03","1","0.01","12.2"
="2454","聯發科","1240","-10","-0.8","11/11","120","127","1","-8","6,550","1.63","0.41","5","1","0","-4","158","0.04","0.01","1","0.02","2.41"
="3231","緯創","144.5","+6","+4.33","11/11","11,168","4,010","8","+7,150","63,420","7.98","1.99","113","163","0","+50","1,896","0.24","0.06","51","0.06","2.99"
="3491","昇達科","421.5","-8","-1.86","11/11","172","88","0","+84","4,225","25.2","6.31","7","32","0","+25","192","1.14","0.29","2","0.12","4.54"
="6669","緯穎","4720","+425","+9.9","11/11","336","250","0","+86","1,689","3.64","0.91","20","24","0","+4","126","0.27","0.07","3","0.08","7.46"
="3008","大立光","2215","-30","-1.34","11/11","14","9","7","-2","855","2.56","0.64","0","1","0","+1","9","0.03","0.01","0","0","1.05"
="3443","創意","1910","+20","+1.06","11/11","622","1,173","0","-551","4,970","14.8","3.71","14","17","0","+3","260","0.78","0.19","3","0.04","5.23"
="3661","世芯-KY","3635","-80","-2.15","11/11","212","184","3","+25","5,174","26.3","6.4","22","10","0","-12","103","0.52","0.13","0","0","1.99"
="2301","光寶科","167.5","-1.5","-0.89","11/11","566","645","8","-87","24,579","4.24","1.06","50","26","0","-24","471","0.08","0.02","10","0.06","1.92"
="4967","十銓","140.5","-8.5","-5.7","11/11","2,124","3,098","0","-974","8,513","40.1","10","230","149","0","-81","987","4.65","1.16","27","0.09","11.6"
="2344","華邦電","64.5","+0.6","+0.94","11/11","1,062","4,822","5","-3,765","101,009","8.98","2.24","1,818","106","29","-1,741","19,774","1.76","0.44","2,287","5.25","19.6"
="3711","日月光投控","228","-0.5","-0.22","11/11","357","405","0","-48","5,857","0.53","0.13","11","13","0","+2","788","0.07","0.02","2","0.01","13.5"
="2408","南亞科","164.5","+3","+1.86","11/11","16,993","23,581","10","-6,598","137,242","17.7","4.43","3,065","786","17","-2,296","22,005","2.84","0.71","284","0.1","16"
="2882","國泰金","64.8","+1","+1.57","11/11","1,185","395","0","+790","7,165","0.2","0.05","0","60","0","+60","498","0.01","0","2","0.01","6.95"
="2891","中信金","43.35","+0.95","+2.24","11/11","41","487","0","-446","4,524","0.09","0.02","2","33","0","+31","166","0","0","0","0","3.67"
="2884","玉山金","30.15","+0.65","+2.2","11/11","561","837","1","-277","16,593","0.41","0.1","39","9","0","-30","115","0","0","0","0","0.69"
="2880","華南金","29.8","+0.15","+0.51","11/11","6","2","0","+4","485","0.01","0","0","0","0","0","47","0","0","0","0","9.69"
="0050","元大台灣50","62.9","-0.45","-0.71","11/11","276","582","2","-308","8,865","0.25","0.06","23","33","0","+10","1,717","0.05","0.01","4","0.01","19.4"
="00878","國泰永續高股息","21.38","+0.04","+0.19","11/11","109","20","2","+87","5,656","0.11","0.03","9","0","0","-9","12","0","0","0","0","0.21"
="006208","富邦台50","147.1","-0.9","-0.61","11/11","15","7","0","+8","348","0.07","0.02","0","0","0","0","8","0","0","0","0","2.3"
