"代號","名稱","成交","漲跌價","漲跌幅","資券週別","更新日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","246.5","+2.5","+1.02","25W46","11/11","8,176","8,451","69","-344","58,237","1.67","0.42","109","98","3","-14","3,552","0.1","0.03","49","0.05","6.1"
="2330","台積電","1465","+5","+0.34","25W46","11/11","1,132","1,770","24","-662","18,038","0.28","0.07","28","13","0","-15","313","0","0","3","0.01","1.74"
="2308","台達電","972","+7","+0.73","25W46","11/11","770","784","6","-20","6,974","1.07","0.27","56","50","0","-6","852","0.13","0.03","3","0.01","12.2"
="2454","聯發科","1240","-20","-1.59","25W46","11/11","298","170","5","+123","6,550","1.63","0.41","10","5","0","-5","158","0.04","0.01","1","0.01","2.41"
="3231","緯創","144.5","+7","+5.09","25W46","11/11","13,550","4,854","20","+8,676","63,420","7.98","1.99","167","232","0","+65","1,896","0.24","0.06","70","0.06","2.99"
="3491","昇達科","421.5","-9.5","-2.2","25W46","11/11","211","150","1","+60","4,225","25.2","6.31","13","57","9","+35","192","1.14","0.29","3","0.12","4.54"
="6669","緯穎","4720","+645","+15.8","25W46","11/11","670","510","1","+159","1,689","3.64","0.91","26","31","1","+4","126","0.27","0.07","3","0.04","7.46"
="3008","大立光","2215","+10","+0.45","25W46","11/11","22","39","7","-24","855","2.56","0.64","0","1","0","+1","9","0.03","0.01","0","0","1.05"
="3443","創意","1910","+190","+11","25W46","11/11","1,930","1,861","0","+69","4,970","14.8","3.71","15","92","0","+77","260","0.78","0.19","4","0.03","5.23"
="3661","世芯-KY","3635","+70","+1.96","25W46","11/11","351","450","4","-103","5,174","26.3","6.4","25","34","3","+6","103","0.52","0.13","0","0","1.99"
="2301","光寶科","167.5","+1","+0.6","25W46","11/11","989","1,203","29","-243","24,579","4.24","1.06","64","61","0","-3","471","0.08","0.02","11","0.04","1.92"
="4967","十銓","140.5","+3.5","+2.55","25W46","11/11","5,703","4,826","1","+876","8,513","40.1","10","308","404","0","+96","987","4.65","1.16","67","0.1","11.6"
="2344","華邦電","64.5","+6.4","+11","25W46","11/11","3,401","7,386","22","-4,007","101,009","8.98","2.24","3,549","350","34","-3,233","19,774","1.76","0.44","3,124","4.14","19.6"
="3711","日月光投控","228","-0.5","-0.22","25W46","11/11","654","762","3","-111","5,857","0.53","0.13","33","41","0","+8","788","0.07","0.02","7","0.02","13.5"
="2408","南亞科","164.5","+17.5","+11.9","25W46","11/11","38,482","35,033","13","+3,436","137,242","17.7","4.43","4,259","5,639","20","+1,360","22,005","2.84","0.71","539","0.12","16"
="2882","國泰金","64.8","+1.3","+2.05","25W46","11/11","1,250","441","0","+809","7,165","0.2","0.05","7","63","0","+56","498","0.01","0","2","0","6.95"
="2891","中信金","43.35","+1.45","+3.46","25W46","11/11","98","838","2","-742","4,524","0.09","0.02","7","47","0","+40","166","0","0","0","0","3.67"
="2884","玉山金","30.15","+0.55","+1.86","25W46","11/11","995","967","1","+27","16,593","0.41","0.1","40","52","0","+12","115","0","0","1","0","0.69"
="2880","華南金","29.8","+0.05","+0.17","25W46","11/11","36","4","0","+32","485","0.01","0","0","0","0","0","47","0","0","0","0","9.69"
="0050","元大台灣50","62.9","+0.35","+0.56","25W46","11/11","548","882","39","-373","8,865","0.25","0.06","38","72","0","+34","1,717","0.05","0.01","21","0.01","19.4"
="00878","國泰永續高股息","21.38","+0.05","+0.23","25W46","11/11","313","61","21","+231","5,656","0.11","0.03","12","1","0","-11","12","0","0","0","0","0.21"
="006208","富邦台50","147.1","+0.85","+0.58","25W46","11/11","33","21","1","+11","348","0.07","0.02","2","0","0","-2","8","0","0","0","0","2.3"
