"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","251","+4.5","+1.83","65,085","11/12","+3.8","+3.25","+3.39","+7.02","-3.46","+75.4","+51.8","+55.8","-27","+100"
="2330","台積電","1475","+10","+0.68","25,998","11/12","+2.88","+0.62","-1.83","+1.9","-10.3","-11.8","-34","-84","-24.6","-26.3"
="2308","台達電","967","-5","-0.51","14,451","11/12","-0.7","+1.08","-1.4","+2.05","-20.7","-24.9","+11.9","+582","+214","+111"
="2454","聯發科","1245","+5","+0.4","4,411","11/12","0","-2.47","-3.07","-3.07","-13.2","-8.14","+42.3","+73.6","-20.2",""
="3231","緯創","139","-5.5","-3.81","88,398","11/12","-4.75","-2.17","-1.37","+1.46","-4.55","-12.3","+20.5","-64.3","-30.6","+2.96"
="3491","昇達科","463.5","+42","+9.96","5,794","11/12","+47.9","+70.1","+80.9","+35.9","+36.5","+101","+300","-4.38","+40.6","+19.3"
="6669","緯穎","4560","-160","-3.39","2,586","11/12","-11.9","-9.02","-9.02","-0.89","-2.63","+40.5","-6.72","-1.77","+52.1","-25.5"
="3008","大立光","2235","+20","+0.9","269","11/12","-11.1","0","0","0","0","-20","","-27.3","","-57.9"
="3443","創意","1885","-25","-1.31","4,497","11/12","-7.69","-6.61","+31.1","+71.4","+109","+124","+173","+4.8","+90.5","+17.1"
="3661","世芯-KY","3520","-115","-3.16","1,479","11/12","-28.2","-35.7","-23.7","+19.4","+42.3","+48","-85.3","-64.9","-59.1","-81.4"
="2301","光寶科","166.5","-1","-0.6","10,572","11/12","-20","-23.8","-20.5","-25","-51.5","-40.2","+37,600","-41.2","+158","+234"
="4967","十銓","148.5","+8","+5.69","29,795","11/12","+9.12","+0.84","+20.9","+20.6","+21.4","-27.9","+999","+916","-12.9","-0.09"
="2344","華邦電","64.8","+0.3","+0.47","23,238","11/12","-2.17","-10.1","-15.9","-22.8","-31.2","-41.3","+704","+348","+624","+2,012"
="3711","日月光投控","227","-1","-0.44","16,587","11/12","-2.54","-2.29","-1.54","-9.86","+3.36","+159","+220","+676","+298","+33.8"
="2408","南亞科","163","-1.5","-0.91","192,259","11/12","-3.45","-12.6","+2.91","+9.65","+6.65","+78.5","+188","+7.84","+2,048","+451"
="6584","南俊國際","307","-3.5","-1.13","5,255","11/12","+0.51","-2.74","+20.7","+67.1","-5.1","+45.9","+39.1","+1,122","+789","+325"
="2882","國泰金","64.9","+0.1","+0.15","28,252","11/12","+0.8","+14.6","+13.6","+8.89","+1.83","-21.2","-59.5","-76.5","-55.2","-58.9"
="2891","中信金","43.05","-0.3","-0.69","29,518","11/12","+0.6","+23.7","+32.5","+35.8","+15.2","+31.5","-67.9","-81.7","-40.8","-53.2"
="2884","玉山金","30.2","+0.05","+0.17","48,055","11/12","+14.8","-8.97","+28.2","+55.3","+22.2","-39.2","-54.5","+46.7","-85.8","-22.4"
="2880","華南金","29.25","-0.55","-1.85","17,093","11/12","0","0","0","+2.17","0","-4.08","+80.8","-34.7","-16.1","-26.6"
="0050","元大台灣50","63.2","+0.3","+0.48","62,620","11/12","+0.17","+0.76","+2.2","+2.87","-2.44","+8.52","+156","+66","+580","+711"
="00878","國泰永續高股息","21.4","+0.02","+0.09","37,232","11/12","-100","-100","-100","-100","-100","-100","","","","-100"
="006208","富邦台50","148.05","+0.95","+0.65","8,277","11/12","-100","-100","-100","-100","-100","-100","-100","-100","","-100"
