"代號","名稱","成交","漲跌價","漲跌幅","資券日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","251","+4.5","+1.83","11/12","9,354","3,077","2","+6,275","64,512","1.85","0.46","52","187","0","+135","3,687","0.11","0.03","13","0.02","5.72"
="2330","台積電","1475","+10","+0.68","11/12","177","572","10","-405","17,633","0.27","0.07","2","11","0","+9","322","0","0","0","0","1.83"
="2308","台達電","967","-5","-0.51","11/12","225","477","3","-255","6,719","1.03","0.26","26","20","0","-6","846","0.13","0.03","2","0.01","12.6"
="2454","聯發科","1245","+5","+0.4","11/12","94","72","7","+15","6,565","1.64","0.41","2","2","0","0","158","0.04","0.01","1","0.02","2.41"
="3231","緯創","139","-5.5","-3.81","11/12","7,661","10,268","15","-2,622","60,798","7.65","1.91","186","96","0","-90","1,806","0.23","0.06","35","0.04","2.97"
="3491","昇達科","463.5","+42","+9.96","11/12","386","587","0","-201","4,024","24","6.01","16","122","14","+92","284","1.69","0.42","4","0.07","7.06"
="6669","緯穎","4560","-160","-3.39","11/12","328","327","1","0","1,689","3.64","0.91","16","1","0","-15","111","0.24","0.06","1","0.04","6.57"
="3008","大立光","2235","+20","+0.9","11/12","4","12","0","-8","847","2.54","0.63","1","0","0","-1","8","0.02","0.01","0","0","0.94"
="3443","創意","1885","-25","-1.31","11/12","505","681","0","-176","4,794","14.3","3.58","24","7","3","-20","240","0.72","0.18","7","0.16","5.01"
="3661","世芯-KY","3520","-115","-3.16","11/12","120","198","3","-81","5,093","25.9","6.3","26","2","5","-29","74","0.38","0.09","0","0","1.45"
="2301","光寶科","166.5","-1","-0.6","11/12","461","720","1","-260","24,319","4.2","1.05","26","7","75","-94","377","0.07","0.02","1","0.01","1.55"
="4967","十銓","148.5","+8","+5.69","11/12","2,743","1,709","2","+1,032","9,545","44.9","11.2","114","204","0","+90","1,077","5.07","1.27","42","0.14","11.3"
="2344","華邦電","64.8","+0.3","+0.47","11/12","688","3,228","211","-2,751","98,258","8.73","2.18","444","26","12","-430","19,344","1.72","0.43","556","2.39","19.7"
="3711","日月光投控","227","-1","-0.44","11/12","183","160","1","+22","5,879","0.53","0.13","26","6","0","-20","768","0.07","0.02","0","0","13.1"
="2408","南亞科","163","-1.5","-0.91","11/12","12,110","8,582","2","+3,526","140,768","18.2","4.54","1,374","647","32","-759","21,246","2.74","0.69","258","0.13","15.1"
="6584","南俊國際","307","-3.5","-1.13","11/12","681","476","0","+205","2,394","14.3","3.59","48","67","17","+2","391","2.34","0.59","84","1.6","16.3"
="2882","國泰金","64.9","+0.1","+0.15","11/12","132","369","0","-237","6,928","0.19","0.05","0","4","0","+4","502","0.01","0","3","0.01","7.25"
="2891","中信金","43.05","-0.3","-0.69","11/12","27","58","0","-31","4,493","0.09","0.02","0","1","0","+1","167","0","0","0","0","3.72"
="2884","玉山金","30.2","+0.05","+0.17","11/12","92","1,198","0","-1,106","15,487","0.38","0.1","2","19","0","+17","132","0","0","2","0","0.85"
="2880","華南金","29.25","-0.55","-1.85","11/12","52","0","0","+52","537","0.02","0","0","0","0","0","47","0","0","0","0","8.75"
="0050","元大台灣50","63.2","+0.3","+0.48","11/12","251","199","3","+49","8,914","0.25","0.06","4","7","0","+3","1,720","0.05","0.01","29","0.05","19.3"
="00878","國泰永續高股息","21.4","+0.02","+0.09","11/12","242","56","4","+182","5,838","0.11","0.03","12","0","0","-12","0","0","0","0","0","0"
="006208","富邦台50","148.05","+0.95","+0.65","11/12","10","8","10","-8","340","0.07","0.02","8","0","0","-8","0","0","0","0","0","0"
