"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","11/13","","252","+1","+0.4","90,542","22,756","251","256","256","247","3.59","19.2","2.4","","","","",""
="2330","台積電","市","11/13","","1460","-15","-1.02","22,779","33,345","1475","1460","1470","1460","0.68","25.9","8.26","","","","",""
="2308","台達電","市","11/13","","958","-9","-0.93","11,008","10,599","967","965","973","958","1.55","49.8","10.34","","","","",""
="2454","聯發科","市","11/13","","1245","0","0","3,040","3,788","1245","1240","1255","1235","1.61","18.6","5.27","","","","",""
="3231","緯創","市","11/13","","144","+5","+3.6","85,473","12,399","139","142","148","141.5","4.68","17.6","2.84","","","","",""
="3491","昇達科","櫃","11/13","","467.5","+4","+0.86","5,825","2,769","463.5","475","495","462.5","7.01","60.6","12.48","","","","",""
="6669","緯穎","市","11/13","","4460","-100","-2.19","1,935","8,671","4560","4540","4560","4410","3.29","18.7","7.67","","","","",""
="3008","大立光","市","11/13","","2235","0","0","245","550","2235","2245","2260","2230","1.34","12.8","1.64","","","","",""
="3443","創意","市","11/13","","1875","-10","-0.53","2,947","5,562","1885","1880","1910","1860","2.65","72.7","21.46","","","","",""
="3661","世芯-KY","市","11/13","","3525","+5","+0.14","949","3,344","3520","3540","3565","3470","2.7","47.9","7.53","","","","",""
="2301","光寶科","市","11/13","","164.5","-2","-1.2","18,193","3,011","166.5","167","168","164","2.4","26.2","4.47","","","","",""
="4967","十銓","市","11/13","","149","+0.5","+0.34","30,182","4,591","148.5","148.5","157.5","147","7.07","62.3","3.3","","","","",""
="2344","華邦電","市","11/13","","64.2","-0.6","-0.93","32,553","2,114","64.8","66","69.1","61.7","11.4","","3.05","","","","",""
="3711","日月光投控","市","11/13","","231.5","+4.5","+1.98","20,997","4,818","227","227","233.5","225.5","3.52","28.4","3.19","","","","",""
="2408","南亞科","市","11/13","","163.5","+0.5","+0.31","362,941","60,624","163","164.5","178.5","156.5","13.5","","3.22","","","","",""
="6584","南俊國際","櫃","11/13","","300.5","-6.5","-2.12","2,181","672","307","312","317","300","5.54","117","9.12","","","","",""
="2882","國泰金","市","11/13","","65.9","+1","+1.54","30,989","2,038","64.9","65","66","64.9","1.69","11.4","1.4","","","","",""
="2891","中信金","市","11/13","","42.9","-0.15","-0.35","31,157","1,338","43.05","43.1","43.45","42.75","1.63","11.9","1.95","","","","",""
="2884","玉山金","市","11/13","","30.1","-0.1","-0.33","43,971","1,328","30.2","30.25","30.45","30.1","1.16","16.1","1.94","","","","",""
="2880","華南金","市","11/13","","29.2","-0.05","-0.17","6,455","189","29.25","29.2","29.4","29.2","0.68","17.2","1.87","","","","",""
="0050","元大台灣50","市","11/13","","62.9","-0.3","-0.47","80,483","5,054","63.2","62.8","62.95","62.6","0.55","","1.005","","","","",""
="00878","國泰永續高股息","市","11/13","","21.41","+0.01","+0.05","40,610","870","21.4","21.43","21.45","21.39","0.28","","1.0023","","","","",""
="006208","富邦台50","市","11/13","","147.05","-1","-0.68","4,684","689","148.05","147.2","147.45","146.65","0.54","","1.0015","","","","",""
