代號,名稱,11/12收盤,漲跌幅,PER,PBR,RSI6,K值,D值,DIF,MACD,OSC,5日均線,20日均線,60日均線,外資當日,外資5日,投信當日,投信5日,券資比,技術評分,籌碼評分,美股評分,綜合評分,關鍵支撐_強/弱,關鍵壓力_弱/強,美股影響,操作建議,短期策略_2週,中期策略_1月,風險等級,推薦評等
2317,鴻海,251,1.83,19.1,2.39,58.2,44.7,45.7,7.25,8.36,-2.23,247.8,243.6,222.7,6165,-854,2121,1353,5.72,9,7,4,73,225/245,260/265,,🔥 強力買進 ⭐⭐⭐⭐⭐,積極進場/加碼,長期持有/波段操作,低,⭐⭐⭐⭐⭐
3711,日月光投控,227,-0.44,27.9,3.12,52.8,37.3,57.4,14.8,15.4,-1.31,229.2,215.7,179.8,4252,15378,99,50,13.1,7,8,6,71.5,180/215,235/240,,🔥 強力買進 ⭐⭐⭐⭐⭐,積極進場/加碼,長期持有/波段操作,低,⭐⭐⭐⭐⭐
4967,十銓,148.5,5.69,62.1,3.29,65.4,77.5,71.4,10.5,10.6,-0.19,142.6,133.3,100,-587,-590,0,93,11.3,9,5,6,70,100/135,155/155,,🔥 強力買進 ⭐⭐⭐⭐⭐,積極進場/加碼,長期持有/波段操作,低,⭐⭐⭐⭐⭐
6584,南俊國際,307,-1.13,120,9.31,71.8,71.2,66.6,14.1,10.9,6.43,301.2,277.2,252.7,-762,-648,-44,376,16.3,8,5,5,63.5,255/275,315/320,,✅ 建議買進 ⭐⭐⭐⭐,分批進場,中期持有,中,⭐⭐⭐⭐
2454,聯發科,1245,0.4,18.6,5.27,27.5,9.92,19.4,-25.5,-20.6,-9.8,1257,1304,1362,-402,-10376,-112,-162,2.41,9,3,6,63,1185/1210,1280/1330,,✅ 建議買進 ⭐⭐⭐⭐,分批進場,中期持有,中,⭐⭐⭐⭐
3443,創意,1885,-1.31,73.1,21.57,77.2,80.1,75.5,114,80.5,66.1,1828,1620,1425,121,1127,107,1024,5.01,5,8,6,62.5,1425/1620,1940/1980,,✅ 建議買進 ⭐⭐⭐⭐,分批進場,中期持有,中,⭐⭐⭐⭐
6669,緯穎,4560,-3.39,19.1,7.85,63.8,76.1,73.4,259,246,26.3,4394,4161,3501,-588,-1314,40,516,6.57,9,4,4,62.5,3500/4160,4695/4790,,✅ 建議買進 ⭐⭐⭐⭐,分批進場,中期持有,中,⭐⭐⭐⭐
2891,中信金,43.05,-0.69,11.9,1.96,62.7,59.5,47,0.05,-0.06,0.23,42.65,42.34,42.46,3898,42739,-5035,-9730,3.72,6,7,5,61.5,40/40,45/45,,✅ 建議買進 ⭐⭐⭐⭐,分批進場,中期持有,中,⭐⭐⭐⭐
2330,台積電,1475,0.68,26.2,8.35,51.2,26.7,35,29.3,39.9,-21.2,1468,1478,1330,-1642,-16638,335,1289,1.83,7,5,6,61,1330/1430,1520/1550,,✅ 建議買進 ⭐⭐⭐⭐,分批進場,中期持有,中,⭐⭐⭐⭐
3008,大立光,2235,0.9,12.8,1.64,53,54.4,45.2,-27.4,-31.2,7.63,2222,2230,2318,31,83,2,12,0.94,7,6,4,60.5,2125/2170,2300/2345,,✅ 建議買進 ⭐⭐⭐⭐,分批進場,中期持有,中,⭐⭐⭐⭐
